id,name,address,phone,website,latitude,longitude,maps_link,foursquare_category,user_category,city,country,fsq_id,detected_language,original_name,translated_name,created_at,category,subcategory,type,name_ar,name_ku,facebook,instagram,directions_link,data_quality,verified,governorate,is_published
1,Deutscher Hof Erbil,أربيل,+964 750 488 3981,www.deutscher-hof-international.com,36.2240803,43.9963289,"https://www.google.com/maps/search/?api=1&query=36.2240803,43.9963289",restaurant,restaurant,Erbil,Iraq,osm_1160915569,,,,2026-03-31 17:31:58.063101+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
9,India Gate Restaurant,"Majdal Street, أربيل",+9647508999910,,36.2295736,44.0040389,"https://www.google.com/maps/search/?api=1&query=36.2295736,44.0040389",restaurant,restaurant,Erbil,Iraq,osm_3382551362,,,,2026-03-31 17:32:06.435085+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
11,Habruri Grill,أربيل,+9647506858000,,36.224648,43.9997134,"https://www.google.com/maps/search/?api=1&query=36.224648,43.9997134",restaurant,restaurant,Erbil,Iraq,osm_3390941441,,,,2026-03-31 17:32:08.686905+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
24,castello,أربيل,+9647502312727,,36.1951248,43.9688094,"https://www.google.com/maps/search/?api=1&query=36.1951248,43.9688094",restaurant,restaurant,Erbil,Iraq,osm_4237476294,,,,2026-03-31 17:32:21.390626+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
26,خواردنگەی ساج ڕیف,"شەقامی گوڵان, أربيل",+964 750 313 0009,http://www.sajalreef.com,36.2115027,43.990364,"https://www.google.com/maps/search/?api=1&query=36.2115027,43.990364",restaurant,restaurant,Erbil,Iraq,osm_4242212089,,,,2026-03-31 17:32:23.436184+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
50,مطعم المندي,"Hawler-Koya road, Erbil",009647513606050,,36.1917942,44.0304329,"https://www.google.com/maps/search/?api=1&query=36.1917942,44.0304329",restaurant,restaurant,Erbil,Iraq,osm_4435723889,,,,2026-03-31 17:32:48.21425+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
51,ماسی برژاوی هەڤاڵان,"331-25, أربيل",+964 750 729 9343,,36.1931112,44.0548812,"https://www.google.com/maps/search/?api=1&query=36.1931112,44.0548812",restaurant,restaurant,Erbil,Iraq,osm_4446266489,,,,2026-03-31 17:32:49.239181+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
52,خواردنگەی ئەز و تو,"شەقامی نەورۆز, Erbil",07504916545,,36.1757143,43.9866112,"https://www.google.com/maps/search/?api=1&query=36.1757143,43.9866112",restaurant,restaurant,Erbil,Iraq,osm_4460678897,,,,2026-03-31 17:32:50.261717+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
61,Sewar Gourmet,"214-264, أربيل",07506000556,http://www.sewargourmet.com/,36.2109684,43.9909891,"https://www.google.com/maps/search/?api=1&query=36.2109684,43.9909891",restaurant,restaurant,Erbil,Iraq,osm_4476325391,,,,2026-03-31 17:32:59.007439+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
63,مریشکی تێکساس,"شەقامی کەرکووک, هەولێر",+964 750 812 8000,http://texaschickenarabia.com/iraq,36.1527825,44.0177809,"https://www.google.com/maps/search/?api=1&query=36.1527825,44.0177809",restaurant,restaurant,Erbil,Iraq,osm_4486260993,,,,2026-03-31 17:33:00.808626+00,Restaurants & Dining,,restaurants_dining,,,,,,enhanced,true,,true
