id,name,nameAr,nameKu,imageUrl,coverImage,isPremium,isFeatured,category,subcategory,rating,isVerified,reviewCount,governorate,city,address,phone,description,openHours,priceRange,tags,lat,lng,createdAt,business_name,verification_status,created_by_agent,confidence_score,source_name,external_source_id,distance,whatsapp,website,descriptionAr,descriptionKu,namear,nameku,imageurl,coverimage,descriptionar,descriptionku,openhours,pricerange
001d3069-9137-47c5-93c0-730d9f571fee,Basra Fuel - Krmat Ali,,,,,false,false,fuel,,4.0,false,0,Krmat Ali,Krmat Ali,"Street 9, Krmat Ali, Dhi Qar",,"Basra Fuel - Krmat Ali - Gas station providing fuel, petroleum products, and basic automotive services. Located in Krmat Ali, Iraq.

Located at Street 9, Krmat Ali, Dhi Qar, Krmat Ali, Krmat Ali Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
001e23f7-0da2-46f5-abe9-136664156e1c,Baghdad Furniture 4 - Diwaniyah,,,,,false,false,furniture,,4.0,false,0,Al-Qadisiyyah,Diwaniyah,"Street 21, Diwaniyah, Qadisiyyah",,"Baghdad Furniture 4 - Diwaniyah - Store offering home and office furniture, furnishings, and interior décor items. Located in Diwaniyah, Iraq.

Located at Street 21, Diwaniyah, Qadisiyyah, Diwaniyah, Al-Qadisiyyah Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
0029f684-e9c2-4bde-a56e-f90b66ff6e54,Classic Wear - Pirde,,,,,false,false,clothes,,4.0,false,0,Pirde,Pirde,"Street 10, Pirde, Erbil",,"Classic Wear - Pirde - Retail store selling clothing, apparel, and fashion items for men, women, and children. Located in Pirde, Iraq.

Located at Street 10, Pirde, Erbil, Pirde, Pirde Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
00422273-f527-4591-a660-7a85b143a5c7,Erbil Espresso - Kifl,,,,,false,false,cafe,,4.0,false,0,TestGov,Kifl,"Street 7, Kifl, Babil",,Test description,,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
0046fa8d-4f26-41bc-98ae-49e70545a021,Dijla Restaurant 3 - Al-Multaqa,,,,,false,false,restaurant,,4.0,false,0,Al-Multaqa,Al-Multaqa,"Street 15, Al-Multaqa, Kirkuk",,"Dijla Restaurant 3 - Al-Multaqa - Food establishment serving meals, snacks, and beverages to customers on-site or for delivery. Located in Al-Multaqa, Iraq.

Located at Street 15, Al-Multaqa, Kirkuk, Al-Multaqa, Al-Multaqa Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
00471c7c-72df-4e4d-a69c-0038346234a8,Imam Ali Shrine 4 - Sirwan,,,,,false,false,mosque,,4.0,false,0,Sirwan,Sirwan,"Street 23, Sirwan, Halabja",,Test description 2,,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
0055d5e7-50c8-46ed-8c7b-a128c2c6495b,Baghdad Academy 4 - Al-Aziziyah,,,,,false,false,school,,4.0,false,0,Al-Aziziyah,Al-Aziziyah,"Street 22, Al-Aziziyah, Wasit",,"Baghdad Academy 4 - Al-Aziziyah - Educational institution providing academic instruction and learning programs for students. Located in Al-Aziziyah, Iraq.

Located at Street 22, Al-Aziziyah, Wasit, Al-Aziziyah, Al-Aziziyah Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
005c451c-9b64-4724-a21a-fe782722dea8,Progress Academy 3 - Sawa,,,,,false,false,school,,4.0,false,0,TestGov,Sawa,"Street 20, Sawa, Babil",,"Progress Academy 3 - Sawa - Educational institution providing academic instruction and learning programs for students. Located in Sawa, Iraq.

Located at Street 20, Sawa, Babil, Sawa, Sawa Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
00614843-1ac6-45c4-9848-fd42d121db34,Basra Cafe 3 - Rabiya,,,,,false,false,cafe,,4.0,false,0,Rabiya,Rabiya,"Street 18, Rabiya, Mosul",,"Basra Cafe 3 - Rabiya - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Rabiya, Iraq.

Located at Street 18, Rabiya, Mosul, Rabiya, Rabiya Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
00741b93-8361-4ee8-88f3-e6f4717fd9c1,Palmera Coffee 3 - Tel Afar,,,,,false,false,cafe,,4.0,false,0,TestGov,Tel Afar,"Street 12, Tel Afar, Mosul",,"Palmera Coffee 3 - Tel Afar - Coffee shop offering beverages, light meals, and a comfortable space for socializing or work. Located in Tel Afar, Iraq.

Located at Street 12, Tel Afar, Mosul, Tel Afar, Tel Afar Governorate. Easily accessible by car and public transportation.",,,{},,,2026-03-31 08:11:55.33832+00,,pending,,,,,,,,,,,,,,,,,
